    lat    lon     lam1     lam2     lam3    V1_Up     V1_E     V1_N    V2_Up     V2_E     V2_N    V3_Up     V3_E     V3_N
  -10.0  -10.0   3.7436  1.18657  0.22394 -0.09153  0.99550  0.02433 -0.20325 -0.04259  0.97820  0.97484  0.08459  0.20624
  -10.0 -100.0   2.5335  0.85284  0.45966  0.02233 -0.70675 -0.70711 -0.26563  0.67767 -0.68572 -0.96382 -0.20314  0.17260
  -10.0 -105.0   2.4215  0.73014  0.56106 -0.12590  0.37726  0.91751  0.76905 -0.54712  0.33049 -0.62667 -0.74722  0.22125
  -10.0 -110.0   4.6358  0.67418  0.31798  0.23609  0.04278 -0.97079  0.97138 -0.03718  0.23460 -0.02606 -0.99839 -0.05033
  -10.0 -115.0   24.867  0.91283  0.04399  0.14253  0.29822 -0.94379  0.98406  0.05980  0.16751  0.10640 -0.95262 -0.28494
  -10.0 -120.0   8.3295  0.70821  0.16791 -0.03407  0.41181 -0.91063  0.34127  0.86119  0.37668 -0.93935  0.29794  0.16988
  -10.0 -125.0   2.7175  0.90903  0.40221  0.14483 -0.51401  0.84547 -0.36628 -0.82163 -0.43677 -0.91917  0.24642  0.30727
  -10.0 -130.0   2.3876  1.13492  0.36667  0.12120 -0.63462  0.76326  0.24963  0.76370  0.59535 -0.96073  0.11838  0.25098
  -10.0 -135.0    2.652  1.13172  0.33102  0.06994 -0.77712  0.62546  0.25531  0.62005  0.74186 -0.96433  0.10780  0.24177
  -10.0 -140.0   3.4185  0.94162  0.30881  0.04049 -0.83927  0.54220  0.36252  0.51801  0.77476 -0.93109  0.16519  0.32523
  -10.0 -145.0   17.589  0.45223  0.12517 -0.07405  0.85214 -0.51805  0.29465  0.51498  0.80497 -0.95273  0.09303  0.28921
  -10.0  -15.0   3.3529  1.37351  0.21580 -0.13326  0.94830  0.28804 -0.10662 -0.30266  0.94711  0.98533  0.09551  0.14144
  -10.0 -150.0    12.75  0.68656  0.11350 -0.04358  0.82839 -0.55846  0.81690 -0.29225 -0.49725  0.57512  0.47788  0.66398
  -10.0 -155.0   4.7842  0.94270  0.22044 -0.03501  0.79480 -0.60586  0.51484 -0.50525 -0.69257  0.85657  0.33617  0.39151
  -10.0 -160.0   2.9991  1.16663  0.28336  0.04553 -0.77418  0.63132 -0.35451  0.57832  0.73476  0.93394  0.25727  0.24812
  -10.0 -165.0   2.2309  1.32741  0.33501  0.07692 -0.76878  0.63487  0.29627 -0.59037 -0.75079  0.95200  0.24585  0.18236
  -10.0 -170.0   1.8398  1.50946  0.35773  0.00830 -0.73360  0.67953  0.17204 -0.66837 -0.72366  0.98505  0.12292  0.12066
  -10.0 -175.0   1.7587  1.53687  0.36699 -0.11147  0.19176  0.97509  0.01823 -0.98065  0.19494 -0.99360 -0.03951 -0.10581
  -10.0  -20.0   3.9599  1.38646  0.18076  0.15111 -0.61269 -0.77574  0.10509 -0.77035  0.62890 -0.98292 -0.17656 -0.05201
  -10.0  -25.0   3.8872  0.78445  0.32729 -0.01939  0.27486  0.96129  0.66937 -0.71063  0.21669  0.74268  0.64766 -0.17020
  -10.0  -30.0   3.6292  0.68281  0.40106  0.02155 -0.31806 -0.94783  0.63718 -0.72619  0.25817  0.77042  0.60950 -0.18701
  -10.0  -35.0   2.5282  0.86858  0.45178 -0.02042  0.42216  0.90629  0.19772 -0.88687  0.41757  0.98005  0.18772 -0.06536
  -10.0  -40.0   2.0332  0.96553  0.50547 -0.11503  0.55216  0.82576  0.09847 -0.82085  0.56259  0.98847  0.14603  0.04005
  -10.0  -45.0   1.8812  1.02446  0.51512  0.11719 -0.70707 -0.69736  0.07856 -0.69340  0.71626 -0.99000 -0.13872 -0.02571
  -10.0   -5.0   4.6918  1.00728  0.21020 -0.04557  0.99185 -0.11895 -0.27010  0.10240  0.95737  0.96175  0.07576  0.26323
  -10.0  -50.0    2.248  0.90219  0.48883  0.07904 -0.79372 -0.60312  0.06199 -0.59993  0.79765 -0.99494 -0.10043  0.00178
  -10.0  -55.0   3.5616  0.74415  0.37385 -0.04351  0.83486  0.54873  0.04137 -0.54728  0.83593  0.99820  0.05907 -0.01073
  -10.0  -60.0   2.7813  0.78653  0.45310 -0.00595  0.87616  0.48198  0.06980 -0.48045  0.87424  0.99754  0.03885 -0.05829
  -10.0  -65.0   2.0563  0.85760  0.56236  0.04853  0.90058  0.43197  0.09298 -0.43467  0.89578  0.99448 -0.00331 -0.10483
  -10.0  -70.0   1.9964  0.87655  0.56712 -0.00765 -0.92040 -0.39091  0.06357 -0.39057  0.91837 -0.99795 -0.01783  0.06149
  -10.0  -75.0    2.091  0.85451  0.55570  0.03544  0.92175  0.38616  0.00953  0.38607 -0.92242  0.99933 -0.03637 -0.00490
  -10.0  -80.0   2.4585  0.81422  0.49598  0.06200  0.91261  0.40411  0.02647 -0.40625  0.91338 -0.99773  0.04593  0.04934
  -10.0  -85.0   2.6676  0.81194  0.45857  0.07378  0.89222  0.44553  0.09936 -0.45111  0.88692 -0.99231  0.02117  0.12194
  -10.0  -90.0   2.6679  0.85518  0.43529 -0.07842 -0.86705 -0.49202 -0.13327  0.49823 -0.85674 -0.98797  0.00162  0.15462
  -10.0  -95.0   2.6633  0.88486  0.42122 -0.04416 -0.81861 -0.57265 -0.15655  0.57180 -0.80532 -0.98668 -0.05408  0.15340
  -10.0    0.0   6.0175  0.82490  0.20014 -0.00304  0.97722 -0.21220 -0.35351  0.19745  0.91435  0.93542  0.07779  0.34486
  -10.0   10.0   12.357  0.48150  0.16740  0.10413  0.90490 -0.41270 -0.30764  0.42391  0.85186  0.94579  0.03826  0.32252
  -10.0  100.0   3.1208  0.82172  0.38153  0.17798 -0.36146  0.91524 -0.29092  0.86919  0.39985 -0.94005 -0.33742  0.04954
  -10.0  105.0   3.8866  0.64046  0.40143  0.13446 -0.22312 -0.96547  0.75403 -0.60913  0.24578  0.64294  0.76104 -0.08634
  -10.0  110.0   2.6295  0.76288  0.49637  0.08091 -0.33968 -0.93705 -0.57424  0.75254 -0.32238 -0.81468 -0.56418  0.13417
  -10.0  115.0    1.821  1.03355  0.52704  0.00065 -0.56071 -0.82801  0.13999  0.81991 -0.55511 -0.99015  0.11555 -0.07903
  -10.0  120.0    1.715  1.02610  0.56330  0.00214 -0.76732 -0.64127  0.06490 -0.63981  0.76579  0.99789  0.04326 -0.04843
  -10.0  125.0   1.6993  1.00228  0.58270 -0.00826  0.82773  0.56107  0.16943 -0.55182  0.81657  0.98551  0.10181 -0.13569
  -10.0  130.0   1.8282  0.91893  0.59068 -0.07149 -0.83482 -0.54587  0.00084 -0.54732  0.83693 -0.99744  0.05937  0.03982
  -10.0  135.0   2.2719  0.84632  0.51522  0.09256 -0.82293 -0.56055  0.07248 -0.55591  0.82808 -0.99307 -0.11727  0.00819
  -10.0  140.0   2.4789  0.76304  0.52426  0.03132 -0.79794 -0.60193 -0.12697 -0.60052  0.78946 -0.99141  0.05170 -0.12012
  -10.0  145.0   4.8693  0.60390  0.33699 -0.02664  0.75413  0.65618 -0.01236 -0.65661  0.75413  0.99957  0.01198  0.02681
  -10.0   15.0   27.891  0.83134  0.04285 -0.42134 -0.71150  0.56234 -0.90476  0.28719 -0.31453 -0.06229  0.64131  0.76475
  -10.0  150.0   3.5317  0.68135  0.41157  0.02727 -0.69735 -0.71621  0.17147  0.70912 -0.68392  0.98481 -0.10416  0.13891
  -10.0  155.0   3.7252  0.70072  0.37991  0.01236 -0.59464 -0.80390 -0.20106 -0.78902  0.58054 -0.97950  0.15446 -0.12931
  -10.0  160.0   3.3862  0.79413  0.36888  0.00525 -0.46177 -0.88699 -0.11862 -0.88102  0.45796 -0.99293  0.10281 -0.05939
  -10.0  165.0   2.7141  0.89443  0.40867  0.06934 -0.29360 -0.95341 -0.17674 -0.94421  0.27792 -0.98181  0.14923 -0.11736
  -10.0  170.0   2.4876  1.00032  0.39874 -0.11141  0.25114  0.96152  0.03849 -0.96573  0.25669  0.99303  0.06560  0.09793
  -10.0  175.0   1.9426  1.17672  0.43416  0.16966 -0.25480 -0.95199  0.06183 -0.96134  0.26833  0.98356  0.10438  0.14735
  -10.0  180.0   1.8406  1.36189  0.39574 -0.15083  0.28777  0.94575  0.03788 -0.95431  0.29642 -0.98783 -0.08054 -0.13304
  -10.0   20.0   6.5968  0.63039  0.23923 -0.53113 -0.16742  0.83058 -0.70092 -0.46394 -0.54173  0.47604 -0.86990  0.12907
  -10.0   25.0   4.0197  0.59370  0.41534 -0.27843  0.53668  0.79652  0.90936  0.41419  0.03880  0.30909 -0.73513  0.60336
  -10.0   30.0   2.7132  0.82772  0.44267 -0.02031  0.80108  0.59821 -0.01034 -0.59847  0.80108  0.99974  0.01008  0.02044
  -10.0   35.0   2.4824  1.02862  0.38885 -0.10750 -0.85508 -0.50722  0.01231 -0.51128  0.85932 -0.99413  0.08613  0.06549
  -10.0   40.0   2.1293  1.09807  0.42473 -0.17516 -0.82940 -0.53048  0.02258 -0.54205  0.84004 -0.98428  0.13516  0.11368
  -10.0   45.0   1.9051  1.13226  0.46016  0.18454  0.80414  0.56507 -0.03596  0.58008 -0.81376 -0.98217  0.12985  0.13596
  -10.0    5.0   8.2789  0.68900  0.17369  0.05349  0.95333 -0.29716 -0.38886  0.29398  0.87313  0.91974  0.06885  0.38644
  -10.0   50.0   1.8183  1.13585  0.48056  0.18012  0.75793  0.62698 -0.02831  0.64113 -0.76691 -0.98324  0.12039  0.13694
  -10.0   55.0   1.7887  1.12334  0.49411  0.16819  0.69305  0.70100 -0.00971  0.71226 -0.70185 -0.98571  0.11124  0.12652
  -10.0   60.0    1.799  1.09091  0.50579  0.17734  0.60983  0.77244 -0.03631 -0.78029  0.62436  0.98348 -0.13877 -0.11624
  -10.0   65.0   1.8488  1.05948  0.50637  0.15434  0.49763  0.85355  0.04666  0.85926 -0.50940 -0.98692  0.11845  0.10940
  -10.0   70.0   1.8139  1.03837  0.52671  0.16248  0.41035  0.89734  0.05302  0.90448 -0.42321 -0.98529  0.11634  0.12520
  -10.0   75.0   1.6096  1.03768  0.59408  0.19022  0.33019  0.92455  0.06724  0.93515 -0.34781 -0.97944  0.12832  0.15569
  -10.0   80.0   1.5976  1.07090  0.58018  0.21631  0.15113  0.96456  0.16035  0.96903 -0.18779 -0.96307  0.19528  0.18537
  -10.0   85.0   1.5592  1.07463  0.59287  0.22089 -0.01914  0.97511  0.22304  0.97430 -0.03140 -0.94945  0.22442  0.21948
  -10.0   90.0   1.5799  1.07560  0.58462  0.15949 -0.20111  0.96650  0.20343  0.96471  0.16717 -0.96601  0.16995  0.19477
  -10.0   95.0   1.6599  1.01504  0.58957  0.15343 -0.30199  0.94088 -0.09895 -0.95207 -0.28944 -0.98319  0.04869  0.17596
  -15.0  -10.0   2.9406  1.19938  0.28157 -0.11587  0.97780  0.17460 -0.16464 -0.19226  0.96743  0.97952  0.08335  0.18326
  -15.0 -100.0   3.1294  0.70865  0.44790 -0.21589  0.88064  0.42175  0.53101 -0.25659  0.80758 -0.81940 -0.39830  0.41224
  -15.0 -105.0   2.3376  0.89638  0.47493  0.50785 -0.67410 -0.53636  0.63098 -0.13281  0.76435 -0.58648 -0.72660  0.35789
  -15.0 -110.0   4.8948  0.91560  0.22175  0.52332 -0.04508 -0.85094  0.81704 -0.25708  0.51609 -0.24202 -0.96534 -0.09770
  -15.0 -115.0    11.45  0.40605  0.21178  0.10225  0.33792 -0.93561 -0.81218 -0.51471 -0.27466 -0.57437  0.78797  0.22182
  -15.0 -120.0   4.5218  1.19988  0.18311 -0.10831 -0.60709  0.78722 -0.30508 -0.73337 -0.60753 -0.94615  0.30596  0.10578
  -15.0 -125.0    3.229  0.97119  0.31647  0.06538  0.81822 -0.57117  0.27473  0.53551  0.79859  0.95930 -0.20913 -0.18978
  -15.0 -130.0    4.456  0.90069  0.24730 -0.01160 -0.89330  0.44930 -0.22461 -0.43552 -0.87171 -0.97438  0.11103  0.19559
  -15.0 -135.0   9.4188  0.67950  0.15479  0.03032  0.91013 -0.41321  0.26669  0.39105  0.88089 -0.96331  0.13690  0.23086
  -15.0 -140.0    25.14  0.55440  0.07112 -0.08623 -0.88747  0.45273 -0.99611  0.08518 -0.02273  0.01839  0.45293  0.89136
  -15.0 -145.0   5.9618  0.81428  0.20463  0.06092  0.84942 -0.52420  0.68947 -0.41556 -0.59325  0.72174  0.32528  0.61096
  -15.0  -15.0   2.6515  1.30091  0.28814 -0.14323  0.92846  0.34270 -0.12631 -0.36059  0.92413  0.98160  0.08908  0.16892
  -15.0 -150.0   3.7725  1.06569  0.24710  0.00696  0.83104 -0.55617  0.44632 -0.50029 -0.74196  0.89485  0.24307  0.37439
  -15.0 -155.0   2.7555  1.27798  0.28202 -0.05688  0.82949 -0.55562  0.31741 -0.51263 -0.79779  0.94658  0.22174  0.23413
  -15.0 -160.0   2.1338  1.39188  0.33426  0.01235 -0.72187  0.69192 -0.29706  0.65808  0.69187 -0.95478 -0.21409 -0.20631
  -15.0 -165.0   1.8228  1.40585  0.38786 -0.04873 -0.56802  0.82157  0.25811 -0.80177 -0.53902  0.96488  0.18579  0.18569
